Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,19,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,28,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,23,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5910,Export Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,17,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,60,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,45,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,2,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,10,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,131,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,147,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,125,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,29,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,52,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,45,,Official data
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,130,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,178,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,90,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,113,Kyrgyzstan,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,72,,Official data
TM,Detailed trade matrix,52,Azerbaijan,141,Mongolia,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,1,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,141,Mongolia,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,18,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,78,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,67,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,139,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,245,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,11,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,11,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,124,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,120,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5910,Export Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,264,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5910,Export Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,235,,Official data
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5910,Export Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,17,,Official data
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,27,,Official data
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5910,Export Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,2,,Official data
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,3,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2001,2001,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,3,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,6,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,9,R,Estimated data using trading partners database
