Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,1,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,23,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,79,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5910,Export Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,20,*,Unofficial figure
TM,Detailed trade matrix,13,Bahrain,2,Afghanistan,5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,2,Afghanistan,5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,8,,Official data
TM,Detailed trade matrix,13,Bahrain,13,Bahrain,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,13,Bahrain,5910,Export Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,3,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2001,2001,tonnes,843,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2002,2002,tonnes,964,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,952,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,634,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,865,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,45,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,268,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,415,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,289,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,224,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,236,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,378,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,515,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,532,,Official data
TM,Detailed trade matrix,13,Bahrain,16,Bangladesh,5910,Export Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2002,2002,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,26,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5910,Export Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,2,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5910,Export Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,2,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5910,Export Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,96,"China, Hong Kong SAR",5910,Export Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,4,,Official data
TM,Detailed trade matrix,13,Bahrain,128,"China, Macao SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,3,,Official data
TM,Detailed trade matrix,13,Bahrain,128,"China, Macao SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,128,"China, Macao SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,3,,Official data
TM,Detailed trade matrix,13,Bahrain,128,"China, Macao SAR",5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,5,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,3,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,12,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,35,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2007,2007,tonnes,118,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,44,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,52,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,91,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,577,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,196,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,215,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,512,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,226,,Official data
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,8,*,Unofficial figure
TM,Detailed trade matrix,13,Bahrain,41,"China, mainland",5910,Export Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,214,"China, Taiwan Province of",5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,7,,Official data
TM,Detailed trade matrix,13,Bahrain,214,"China, Taiwan Province of",5610,Import Quantity,463,"Vegetables, fresh nes",2007,2007,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,214,"China, Taiwan Province of",5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,214,"China, Taiwan Province of",5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,50,Cyprus,5610,Import Quantity,463,"Vegetables, fresh nes",2001,2001,tonnes,6,,Official data
TM,Detailed trade matrix,13,Bahrain,50,Cyprus,5610,Import Quantity,463,"Vegetables, fresh nes",2003,2003,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,50,Cyprus,5610,Import Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,1,,Official data
TM,Detailed trade matrix,13,Bahrain,50,Cyprus,5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,13,Bahrain,50,Cyprus,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,1,,Official data
